"dzien","Ilosc zwierzakow","Ilosc roslinek","Srednia energia","Sredni czas zycia","Ilosc wolnych pol","Najpopularniejszy gen"
"0","15","398","31","0.0","1012","522524302265071"
"1","15","409","34","0.5","999","522524302265071"
"2","15","419","38","1.0","990","522524302265071"
"3","15","429","42","1.5","978","522524302265071"
"4","15","439","45","2.0","969","522524302265071"
"5","15","448","46","2.4999999999999996","961","522524302265071"
"6","15","450","50","3.0","960","522524302265071"
"7","15","452","53","3.5","958","522524302265071"
"8","15","453","57","4.0","957","522524302265071"
"9","15","455","60","4.499999999999999","955","522524302265071"
"10","15","461","64","4.999999999999999","949","522524302265071"
"11","15","463","68","5.5","947","522524302265071"
"12","15","464","71","6.0","945","522524302265071"
"13","15","468","74","6.5","940","522524302265071"
"14","15","470","77","7.0","939","522524302265071"
"15","15","470","82","7.5","938","522524302265071"
"16","15","471","87","8.0","940","522524302265071"
"17","15","473","90","8.5","936","522524302265071"
"18","15","474","95","9.0","937","522524302265071"
"19","15","477","98","9.500000000000004","933","522524302265071"
"20","15","479","101","10.000000000000004","931","522524302265071"
"21","15","481","103","10.500000000000004","927","522524302265071"
"22","15","483","106","11.000000000000007","925","522524302265071"
"23","15","485","111","11.500000000000005","925","522524302265071"
"24","16","486","106","12.000000000000005","925","522524302265071"
"25","16","488","110","12.470588235294123","921","522524302265071"
"26","16","489","114","12.943488943488948","921","522524302265071"
"27","16","488","117","13.418439716312061","919","522524302265071"
"28","17","488","112","13.895216400911165","920","522524302265071"
"29","17","494","114","14.34429824561404","913","522524302265071"
"30","15","497","131","14.797040169133195","911","522524302265071"
"31","15","500","132","15.188524590163938","907","522524302265071"
"32","15","503","133","15.586481113320083","904","522524302265071"
"33","15","507","135","15.990347490347494","901","522524302265071"
"34","15","507","138","16.39962476547843","901","522524302265071"
"35","12","506","174","16.81386861313869","904","522524302265071"
"36","12","506","176","17.132142857142863","905","522524302265071"
"37","12","509","177","17.458041958041964","902","522524302265071"
"38","12","514","177","17.79109589041097","896","522524302265071"
"39","12","516","180","18.13087248322148","896","522524302265071"
"40","12","518","184","18.47697368421053","893","522524302265071"
"41","13","519","174","18.829032258064522","893","351637617646714"
"42","13","520","175","19.157977883096375","890","351637617646714"
"43","13","521","176","19.493808049535616","889","351637617646714"
"44","13","522","177","19.836115326251914","888","351637617646714"
"45","13","523","179","20.184523809523824","886","351637617646714"
"46","14","524","167","20.53868613138688","887","351637617646714"
"47","14","526","169","20.869814020028624","883","351637617646714"
"48","14","526","173","21.207573632538583","884","351637617646714"
"49","14","529","175","21.551581843191215","880","351637617646714"
"50","13","532","191","21.901484480431865","878","351637617646714"
"51","13","534","193","22.218832891246702","875","351637617646714"
"52","13","535","195","22.542372881355952","874","351637617646714"
"53","13","539","196","22.87179487179489","870","351637617646714"
"54","13","545","197","23.20680958385878","864","351637617646714"
"55","13","547","200","23.54714640198513","863","351637617646714"
"56","13","548","203","23.89255189255191","863","351637617646714"
"57","13","551","207","24.242788461538478","860","351637617646714"
"58","13","554","210","24.597633136094693","857","351637617646714"
"59","13","556","214","24.956876456876476","855","351637617646714"
"60","13","558","219","25.320321469575216","854","351637617646714"
"61","13","560","221","25.68778280542988","851","351637617646714"
"62","13","563","224","26.059085841694554","848","351637617646714"
"63","13","564","226","26.43406593406595","847","351637617646714"
"64","13","566","231","26.81256771397618","845","351637617646714"
"65","13","570","233","27.19444444444446","841","351637617646714"
"66","14","576","218","27.579557428872512","835","351637617646714"
"67","14","579","222","27.9397715472482","833","351637617646714"
"68","14","583","226","28.303991811668386","827","351637617646714"
"69","14","583","231","28.672048435923326","827","351637617646714"
"70","14","587","234","29.04378109452738","823","351637617646714"
"71","14","588","240","29.4190382728165","823","351637617646714"
"72","14","587","246","29.797676669893526","823","351637617646714"
"73","14","588","251","30.179560649474706","822","351637617646714"
"74","14","590","255","30.564561734213022","821","351637617646714"
"75","14","588","260","30.952558139534897","822","351637617646714"
"76","14","591","265","31.343434343434357","820","351637617646714"
"77","14","593","269","31.73708068902993","818","351637617646714"
"78","14","595","272","32.13339301700986","816","351637617646714"
"79","14","597","273","32.532272325375786","813","351637617646714"
"80","14","599","276","32.933624454148486","810","351637617646714"
"81","14","604","276","33.337359792924964","804","351637617646714"
"82","14","606","278","33.7433930093777","802","351637617646714"
"83","14","606","281","34.151642796967174","804","351637617646714"
"84","14","609","283","34.562031640299786","800","351637617646714"
"85","14","614","286","34.97448559670786","797","351637617646714"
"86","14","618","288","35.38893409275837","792","351637617646714"
"87","14","622","288","35.805309734513315","786","351637617646714"
"88","14","625","290","36.2235481304694","784","351637617646714"
"89","14","627","295","36.64358772619987","782","351637617646714"
"90","12","630","345","37.06536964980547","782","351637617646714"
"91","11","632","377","37.4063222821897","779","077171325773147"
"92","11","635","379","37.74006116207955","776","077171325773147"
"93","11","638","380","38.07657316148601","774","077171325773147"
"94","12","639","351","38.41578947368424","774","351637617646714"
"95","12","638","355","38.72950819672134","773","351637617646714"
"96","12","642","358","39.04652880354508","770","351637617646714"
"97","12","642","366","39.366764275256244","771","351637617646714"
"98","12","644","369","39.6901306240929","768","351637617646714"
"99","12","647","374","40.01654676258994","765","351637617646714"
"100","12","648","379","40.34593437945793","764","351637617646714"
"101","12","648","387","40.67821782178218","764","351637617646714"
"102","12","650","391","41.01332398316971","761","351637617646714"
"103","12","651","399","41.351182197496506","761","351637617646714"
"104","12","651","404","41.69172413793101","761","351637617646714"
"105","12","649","409","42.034883720930196","762","351637617646714"
"106","13","650","382","42.380597014925335","761","077171325773147"
"107","13","655","385","42.700739744451866","756","077171325773147"
"108","13","658","391","43.02399999999996","756","077171325773147"
"109","13","658","396","43.350297422339686","754","077171325773147"
"110","13","659","402","43.679554390563524","754","077171325773147"
"111","13","660","406","44.01169590643271","752","077171325773147"
"112","13","665","411","44.346649484536044","748","077171325773147"
"113","13","667","416","44.68434504792329","746","077171325773147"
"114","13","670","424","45.0247148288973","744","077171325773147"
"115","14","673","398","45.36769327466998","741","077171325773147"
"116","14","674","407","45.685358255451675","739","077171325773147"
"117","14","677","412","46.00617665225444","736","077171325773147"
"118","14","676","420","46.33006736068582","738","077171325773147"
"119","14","680","425","46.65695203400118","732","077171325773147"
